Driver_ID,Car_Number_Plate,Driver_Name,Total_Rides,Rating,Phone_Number,City
1,BH 5527 FI,Neha Yadav,57,4.0,4052507122,Kulem
2,BH 1372 CP,Sita Gupta,150,3.3,7669843170,Thoothukudi
3,BH 0445 VU,Meera Patel,90,3.5,4902661085,Karaikudi
4,BH 3827 KY,Sita Jha,50,4.7,8424596269,Palanpur
5,BH 6914 SI,Vedant Jha,132,4.3,9807270603,Bellary
6,BH 1926 OD,Rajesh Singh,98,4.0,7045420866,Nanded
7,BH 2374 LR,Meera Jha,80,3.8,5384206034,Dongargarh
8,BH 8302 XM,Vedant Yadav,108,3.2,9452669160,Beed
9,BH 0891 TQ,Rajesh Jindal,53,3.0,2601610833,Joginder Nagar
10,BH 5165 DY,Neha Sheoran,93,5.0,3753494564,Hubballi
11,BH 2760 OZ,Kavita Jindal,43,2.9,9359221441,Thekkady
12,BH 2945 DQ,Neha Sharma,42,2.4,6464227809,Bhongir
13,BH 3343 NO,Vedant Gupta,81,3.2,3450154110,Rourkela
14,BH 4463 EL,Sita Yadav,146,2.6,3601746775,Mehsana
15,BH 6898 EM,Vedant Goyal,80,3.8,8383643022,Khanna
16,BH 7764 AZ,Neha Verma,115,2.4,7543984623,Faridkot
17,BH 7300 KY,Shivam Verma,99,4.9,7508298535,Dongargarh
18,BH 5122 FZ,Sourav Reddy,33,2.9,6887546022,Kangra
19,BH 2171 CJ,Rajesh Patil,118,4.7,5624317553,Puducherry
20,BH 1113 WJ,Sita Jha,117,2.3,8815513293,Cuttack
21,BH 2338 TC,Sanjay Mishra,32,3.9,1010653133,Anand
22,BH 4233 GC,Vikram Patel,55,4.9,7146026372,Tawang
23,BH 5418 PI,Sanjay Sheoran,31,4.5,4708469099,Godda
24,BH 3895 KH,Rajesh Kumar,141,2.3,9550557267,Solapur
25,BH 6952 DX,Sita Singh,65,4.8,5672394610,Kannur
26,BH 0819 VC,Ashwin Sheoran,90,4.7,1282116635,Gandhidham
27,BH 2192 PA,Kavita Singh,139,2.7,4903017625,Rudraprayag
28,BH 8433 SJ,Meera Reddy,124,2.8,3863726653,Godhra
29,BH 4753 YI,Arun Goyal,48,5.0,3361098729,Pune
30,BH 6077 IW,Vikram Reddy,138,3.1,4753780283,Davangere
31,BH 5835 HG,Sourav Sheoran,125,4.1,8036575267,Siliguri
32,BH 4070 KU,Ashwin Jha,42,3.7,2953801112,Sealdah
33,BH 1024 CI,Rajesh Mishra,108,4.8,5841814694,Sangli
34,BH 1860 DX,Vedant Sheoran,116,3.7,9504172947,Kanker
35,BH 9182 TP,Priya Yadav,82,4.5,6917774317,Madhubani
36,BH 9565 KG,Vedant Patel,69,4.5,2157544660,Ayodhya
37,BH 4139 UK,Neha Patel,42,4.6,4474051894,Ambikapur
38,BH 6940 LW,Neha Sharma,143,3.7,7376485683,Pune
39,BH 6535 NP,Amit Goyal,150,2.1,4847115871,Mohali
40,BH 7158 LM,Amit Yadav,94,3.7,2684544567,Vikasnagar
41,BH 8311 YA,Ashwin Sheoran,64,3.9,4811078345,Mysuru
42,BH 9600 CU,Sanjay Sheoran,144,2.5,3661200712,Raigad
43,BH 4753 VZ,Sourav Gupta,93,2.5,7181896617,Nuapada Road
44,BH 3795 SU,Vikram Jindal,66,2.9,7086849100,Chitradurga
45,BH 2622 GW,Sourav Kumar,113,3.1,6952874287,Tuensang
46,BH 8824 JS,Neha Patil,139,4.1,9884002599,Kasaragod
47,BH 7777 OI,Arun Yadav,121,4.3,8035215211,Mapusa
48,BH 0311 PQ,Amit Singh,116,2.7,6060647813,Bagalkot
49,BH 4659 BW,Vedant Jindal,86,3.8,9956850053,Patiala
50,BH 3444 CF,Meera Sharma,78,4.6,8218797093,Batala
51,BH 8779 AI,Vedant Jindal,89,3.9,3525748524,Mysore
52,BH 8638 AD,Vikram Yadav,86,2.3,1856361805,Beed
53,BH 9586 FP,Vikram Goyal,135,4.2,9825812776,Bihar Sharif
54,BH 1851 FL,Sourav Gupta,150,4.9,8622945244,Jagityal
55,BH 8349 LP,Meera Goyal,59,2.0,9155864463,Manipal
56,BH 3839 OU,Vedant Jindal,110,2.6,7456832131,Bhusaval
57,BH 1275 GL,Sourav Jindal,88,4.4,7303477949,Nanded
58,BH 5342 FO,Sita Kumar,141,4.7,5447610393,Siliguri
59,BH 3333 OD,Amit Kumar,90,2.7,1492591471,Shoranur
60,BH 2568 OI,Ashwin Goyal,75,3.2,3125501411,Jajpur Keonjhar Road
